Ref,Val,Package,PosX,PosY,Rot,Side
"A1","Arduino_Nano_v3.x","Arduino_Nano",87.376000,-62.992000,180.000000,top
"C1","220n","C_Disc_D4.3mm_W1.9mm_P5.00mm",47.218000,-64.566000,0.000000,top
"C2","1n","C_Disc_D4.3mm_W1.9mm_P5.00mm",56.388000,-77.136000,90.000000,top
"C3","470u","CP_Radial_D8.0mm_P3.50mm",45.354000,-43.180000,180.000000,top
"C4","100n","C_Disc_D4.3mm_W1.9mm_P5.00mm",63.072000,-38.100000,0.000000,top
"C5","10u","CP_Radial_D4.0mm_P2.00mm",67.056000,-61.976000,180.000000,top
"C6","470u","CP_Radial_D8.0mm_P3.50mm",50.434000,-43.230000,0.000000,top
"D1","P6KE 220A","D_5W_P12.70mm_Horizontal",42.672000,-64.516000,90.000000,top
"D2","1N4007","D_DO-41_SOD81_P10.16mm_Horizontal",93.980000,-68.072000,-90.000000,top
"J1","Conn_01x02_Pin","PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal",36.724000,-72.186000,0.000000,top
"J2","Conn_01x02_Pin","PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal",47.894000,-72.186000,0.000000,top
"J3","Conn_01x02_Pin","PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal",85.088000,-71.628000,0.000000,top
"J4","Barrel_Jack_Switch","BarrelJack_GCT_DCJ200-10-A_Horizontal",47.894000,-36.322000,180.000000,top
"L1","100u","L_Radial_D10.0mm_P5.00mm_Neosid_SD12_style3",51.816000,-53.380000,-90.000000,top
"Q1","IRFI640","TO-220-3_Vertical",36.576000,-37.592000,90.000000,top
"Q2","IRFR3410","TO-252-2",77.723000,-73.753000,90.000000,top
"R1","180R","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",119.500000,-46.230000,0.000000,top
"R2","180R","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",107.000000,-46.230000,0.000000,top
"R3","180R","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",94.300000,-46.230000,0.000000,top
"R4","10r","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",58.420000,-32.004000,-90.000000,top
"R5","0r1","R_Axial_DIN0614_L14.3mm_D5.7mm_P20.32mm_Horizontal",36.576000,-67.564000,90.000000,top
"R6","180r","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",60.451000,-76.214000,0.000000,top
"R7","100k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",60.451000,-72.136000,0.000000,top
"R8","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",55.880000,-24.384000,0.000000,top
"RV1","4k7","Potentiometer_Piher_PT-10-V10_Vertical",125.944000,-68.928000,90.000000,top
"SW1","SW_Push","SW_PUSH_6mm_H5mm",108.784000,-66.952000,90.000000,top
"SW2","SW_Push","SW_PUSH_6mm_H5mm",98.116000,-66.952000,90.000000,top
"U1","SC39-11SRWA","Sx39-1xxxxx",97.536000,-32.070000,0.000000,top
"U2","SC39-11SRWA","Sx39-1xxxxx",109.341000,-32.070000,0.000000,top
"U3","SC39-11SRWA","Sx39-1xxxxx",121.146000,-32.070000,0.000000,top
"U4","MCP1407-E_P","DIP254P762X432-8",61.468000,-27.432000,180.000000,top
"U5","L7805","TO-220-3_Vertical",66.040000,-48.260000,-90.000000,top
